op,src_dtype,dst_dtype,shape_path,vf_impl_kind,tail_kind,op_params,formula_kind,param0,param1,param2,param3
TMINS,fp16,none,2D,POST_UPDATE,tail,,nested_loop,1.1016757,4.5314383,49.627872,0
TMINS,fp32,none,1D,NO_POST_UPDATE,full,,linear,1.0589255,53.140381,0,0
TMINS,fp32,none,1D,NO_POST_UPDATE,tail,,linear,1.0589255,53.140381,0,0
TMINS,fp32,none,1D,POST_UPDATE,full,,linear,1.0589255,53.140381,0,0
TMINS,fp32,none,1D,POST_UPDATE,tail,,linear,1.0589255,53.140381,0,0
TMINS,fp32,none,2D,NO_POST_UPDATE,full,,nested_loop,1.1016757,4.5314383,49.627872,0
TMINS,fp32,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.1016757,4.5314383,49.627872,0
TMINS,fp32,none,2D,POST_UPDATE,full,,nested_loop,1.1016757,4.5314383,49.627872,0
TMINS,fp32,none,2D,POST_UPDATE,tail,,nested_loop,1.1016757,4.5314383,49.627872,0
TMUL,fp16,none,1D,NO_POST_UPDATE,full,,linear,1.1941075,56.285962,0,0
TMUL,fp16,none,1D,NO_POST_UPDATE,tail,,linear,1.1941075,56.285962,0,0
TMUL,fp16,none,1D,POST_UPDATE,full,,linear,1.1941075,56.285962,0,0
TMUL,fp16,none,1D,POST_UPDATE,tail,,linear,1.1941075,56.285962,0,0
TMUL,fp16,none,2D,NO_POST_UPDATE,full,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp16,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp16,none,2D,POST_UPDATE,full,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp16,none,2D,POST_UPDATE,tail,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp32,none,1D,NO_POST_UPDATE,full,,linear,1.1941075,56.285962,0,0
TMUL,fp32,none,1D,NO_POST_UPDATE,tail,,linear,1.1941075,56.285962,0,0
TMUL,fp32,none,1D,POST_UPDATE,full,,linear,1.1941075,56.285962,0,0
TMUL,fp32,none,1D,POST_UPDATE,tail,,linear,1.1941075,56.285962,0,0
TMUL,fp32,none,2D,NO_POST_UPDATE,full,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp32,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp32,none,2D,POST_UPDATE,full,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp32,none,2D,POST_UPDATE,tail,,nested_loop,1.8708194,2.9123738,44.844619,0
